time,P_l
2016-06-12 12:05:00+0000,26185.97
2016-06-12 12:10:00+0000,25991.17
2016-06-12 12:15:00+0000,26732.98
2016-06-12 12:20:00+0000,27057.85
2016-06-12 12:25:00+0000,25907.89
2016-06-12 12:30:00+0000,26882.27
2016-06-12 12:35:00+0000,30345.89
2016-06-12 12:40:00+0000,29111.65
2016-06-12 12:45:00+0000,26708.38
2016-06-12 12:50:00+0000,26879.15
2016-06-12 12:55:00+0000,28026.62
2016-06-12 13:00:00+0000,28738.16
2016-06-12 13:05:00+0000,35587.18
2016-06-12 13:10:00+0000,28888.856
2016-06-12 13:15:00+0000,29539.049
2016-06-12 13:20:00+0000,31082.495
2016-06-12 13:25:00+0000,29686.58
2016-06-12 13:30:00+0000,28137.26
2016-06-12 13:35:00+0000,25419.082
2016-06-12 13:40:00+0000,29629.299
2016-06-12 13:45:00+0000,26804.99
2016-06-12 13:50:00+0000,25243.71
2016-06-12 13:55:00+0000,25554.204
2016-06-12 14:00:00+0000,26796.06
2016-06-12 14:05:00+0000,24848.511
2016-06-12 14:10:00+0000,27408.045
2016-06-12 14:15:00+0000,26237.092
2016-06-12 14:20:00+0000,23065.8
2016-06-12 14:25:00+0000,24422.6
2016-06-12 14:30:00+0000,23826.7
2016-06-12 14:35:00+0000,22740.0
2016-06-12 14:40:00+0000,23191.0
2016-06-12 14:45:00+0000,21473.91
2016-06-12 14:50:00+0000,23064.89
2016-06-12 14:55:00+0000,22869.647
2016-06-12 15:00:00+0000,23687.912
2016-06-12 15:05:00+0000,24631.254
2016-06-12 15:10:00+0000,24301.655
2016-06-12 15:15:00+0000,24448.2
2016-06-12 15:20:00+0000,23199.049
2016-06-12 15:25:00+0000,21118.61
2016-06-12 15:30:00+0000,20862.5
2016-06-12 15:35:00+0000,24048.2
2016-06-12 15:40:00+0000,25798.0
2016-06-12 15:45:00+0000,25214.871
2016-06-12 15:50:00+0000,25951.06
2016-06-12 15:55:00+0000,25003.105
2016-06-12 16:00:00+0000,22857.406
2016-06-12 16:05:00+0000,23265.16
2016-06-12 16:10:00+0000,20358.6
2016-06-12 16:15:00+0000,21574.9
2016-06-12 16:20:00+0000,22231.1
2016-06-12 16:25:00+0000,22878.9
2016-06-12 16:30:00+0000,22497.2
2016-06-12 16:35:00+0000,21673.0
2016-06-12 16:40:00+0000,19786.7
2016-06-12 16:45:00+0000,20851.639
2016-06-12 16:50:00+0000,20523.0
2016-06-12 16:55:00+0000,19958.5
2016-06-12 17:00:00+0000,20681.71
2016-06-12 17:05:00+0000,20876.35
2016-06-12 17:10:00+0000,23145.08
2016-06-12 17:15:00+0000,22636.68
2016-06-12 17:20:00+0000,23415.301
2016-06-12 17:25:00+0000,21946.46
2016-06-12 17:30:00+0000,22676.936
